Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
3832-2025-014,(GLONASS),,,2025-09-13,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3833-2025-014,,,,2025-09-13,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3831-2025-013,,,,2025-09-11,,,,,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3827-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3828-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3829-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3830-2025-012,,,,2025-08-21,,,,,Assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3826-2025-011,,,,2025-08-20,,,,,Fundamental research,Russian Federation
3820-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3812-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3818-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3819-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3813-2025-010,,,,2025-07-25,,,,,Scientific applications,Russian Federation
3814-2025-010,,,,2025-07-25,,,,,Scientific applications,Russian Federation
3815-2025-010,,,,2025-07-25,,,,,Scientific applications,Russian Federation
3817-2025-010,,,,2025-07-25,,,,,Earth remote sensing,Russian Federation
3816-2025-010,,,,2025-07-25,,,,,Earth remote sensing,Russian Federation
3821-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3824-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3825-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3823-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3822-2025-010,,,,2025-07-25,,,,,Earth remote sensing,Russian Federation
3810-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3809-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3811-2025-010,,,,2025-07-25,,,,,Technological applications,Russian Federation
3807-2025-010,,,,2025-07-25,,,,,Geophysical applications,Russian Federation
3808-2025-010,,,,2025-07-25,,,,,Geophysical applications,Russian Federation
