Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),NORAD_CAT_ID,SATCAT_OBJECT_TYPE,SATCAT_OPS_STATUS,SATCAT_RCS,SATCAT_DECAY_DATE
3832-2025-014,2025-206B,(GLONASS),Russian Federation,2025-09-13,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1309.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,19166.0,19094.0,64.74,675.74,65590,PAY,+,,
3833-2025-014,2025-206A,,Russian Federation,2025-09-13,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1309.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,,,,,65589,PAY,+,,
3831-2025-013,2025-204A,,Russian Federation,2025-09-11,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",in orbit,/osoindex/data/documents/ru/st/stsgser.e1309.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,420.15,415.72,51.63,92.93,65586,PAY,+,,
3827-2025-012,2025-182A,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,303.0,289.0,96.59,90.43,65267,PAY,+,,
3828-2025-012,2025-182B,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,302.0,286.0,96.59,90.4,65268,PAY,+,,
3829-2025-012,2025-182C,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,303.0,287.0,96.59,90.41,65269,PAY,+,,
3830-2025-012,2025-182D,,Russian Federation,2025-08-21,Assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,303.0,288.0,96.59,90.43,65270,PAY,+,,
3826-2025-011,2025-181A,,Russian Federation,2025-08-20,Fundamental research,recovered,/osoindex/data/documents/ru/st/stsgser.e1303.html,T,------,2025-09-19,The registration submission for this space object is presently being processed by the United Nations Secretariat.,,,,2450.0,1555.0,88.27,127.26,65265,PAY,D,,2025-09-19
,2025-180,,Mexico,2025-08-16,"The ThumbSat-1 and ThumbSat-2 satellites are experimental femtosatellites, designed to demonstrate communications technology in low Earth orbit and to capture images from the payload module, which is equipped with a UHF (400.6 MHz) transceiver.",in orbit,/osoindex/data/documents/mx/st/stsgser.e1285.html,T,,,The registration submission for this space object is presently being processed by the United Nations Secretariat. International Designator pending assignment.,,,,,,,,,,,,
3820-2025-010,2025-155*,,Russian Federation,2025-07-25,Technological applications,in orbit,/osoindex/data/documents/ru/st/stsgser.e1301.html,T,,,International Designator pending assignment.,,,,512.0,480.0,97.41,94.39,,,,,
